ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,bimonthly,bimonthly_lower,bimonthly_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-02-03,13706.278847122143,7829.092258180165,14444.008928149293,9942.3726337643,17544.87937718384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053397667871946636,-0.053397667871946636,-0.053397667871946636,0.0,0.0,0.0,-0.1759654548199074,-0.1759654548199074,-0.1759654548199074,-0.12256778694796079,-0.12256778694796079,-0.12256778694796079,0.0,0.0,0.0,11294.447255899819
2020-02-04,13732.267689529202,7861.123507227356,14607.727460935073,9896.822040868432,17612.32748295987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05033704886285754,-0.05033704886285754,-0.05033704886285754,0.0,0.0,0.0,-0.18138942075600245,-0.18138942075600245,-0.18138942075600245,-0.13105237189314492,-0.13105237189314492,-0.13105237189314492,0.0,0.0,0.0,11241.379607659132
2020-02-05,13758.256531936266,7752.694388236666,14532.358756118174,9865.45361447193,17681.108878659958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04685285603077749,-0.04685285603077749,-0.04685285603077749,0.0,0.0,0.0,-0.186261673773871,-0.186261673773871,-0.186261673773871,-0.1394088177430935,-0.1394088177430935,-0.1394088177430935,0.0,0.0,0.0,11195.620642087522
2020-02-06,13784.245374343334,7769.613504227608,14507.453424223799,9896.50273237241,17749.890274360037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04258362298498088,-0.04258362298498088,-0.04258362298498088,0.0,0.0,0.0,-0.19020698091332494,-0.19020698091332494,-0.19020698091332494,-0.14762335792834402,-0.14762335792834402,-0.14762335792834402,0.0,0.0,0.0,11162.385677521024
2020-02-07,13810.234216750398,7524.817596726028,14664.329806550044,9927.551850272892,17843.362829349702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03719924967489142,-0.03719924967489142,-0.03719924967489142,0.0,0.0,0.0,-0.19288184623488897,-0.19288184623488897,-0.19288184623488897,-0.15568259655999755,-0.15568259655999755,-0.15568259655999755,0.0,0.0,0.0,11146.490744087347
2020-02-08,13836.223059157464,7535.216390752371,14758.751833475506,9846.867288187792,17987.435428526067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03049261262781981,-0.03049261262781981,-0.03049261262781981,0.0,0.0,0.0,-0.1940661460870243,-0.1940661460870243,-0.1940661460870243,-0.16357353345920447,-0.16357353345920447,-0.16357353345920447,0.0,0.0,0.0,11151.080573666357
2020-02-09,13862.211901564524,7345.420774818055,14420.930935363818,9757.585042425972,18073.30388377546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022440818694316165,-0.022440818694316165,-0.022440818694316165,0.0,0.0,0.0,-0.1937244067703085,-0.1937244067703085,-0.1937244067703085,-0.17128358807599234,-0.17128358807599234,-0.17128358807599234,0.0,0.0,0.0,11176.763124409626
2020-02-10,13888.200743971593,7568.977943641199,14930.033454494716,9624.823694109225,18156.630680174978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013226310924780205,-0.013226310924780205,-0.013226310924780205,0.0,0.0,0.0,-0.19202693317154265,-0.19202693317154265,-0.19202693317154265,-0.17880062224676246,-0.17880062224676246,-0.17880062224676246,0.0,0.0,0.0,11221.292147835991
2020-02-11,13914.189586378656,7608.44039633925,14925.134466441892,9577.859168698278,18263.67677924732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032184719058767747,-0.0032184719058767747,-0.0032184719058767747,0.0,0.0,0.0,-0.18933143364854638,-0.18933143364854638,-0.18933143364854638,-0.18611296174266959,-0.18611296174266959,-0.18611296174266959,0.0,0.0,0.0,11279.796123931912
2020-02-12,13940.178428785723,7506.340862236321,15144.047613423018,9514.056756719221,18368.43201562349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007074945595916718,0.007074945595916718,0.007074945595916718,0.0,0.0,0.0,-0.18613447096867677,-0.18613447096867677,-0.18613447096867677,-0.19320941656459348,-0.19320941656459348,-0.19320941656459348,0.0,0.0,0.0,11345.430691734733
